data,titulo,fonte,categoria,url
2019-01-01,Banco Master inicia fase de crescimento acelerado sob Daniel Vorcaro,Contexto historico,contexto,
2024-06-01,Patrimonio liquido do Master atinge R$ 4.7 bilhoes (era R$ 200M em 2019),BCB IF.data,financeiro,https://www3.bcb.gov.br/ifdata/
2025-03-01,BRB anuncia proposta de aquisicao de 58% do Banco Master,Agencia Brasil / Reuters,aquisicao,https://agenciabrasil.ebc.com.br/economia/noticia/2025-04/com-pedido-de-compra-banco-master-divulga-lucro-de-r-1-bi-em-2024
2025-04-01,Banco Master divulga lucro de R$ 1 bilhao em 2024,Agencia Brasil,financeiro,https://agenciabrasil.ebc.com.br/economia/noticia/2025-04/com-pedido-de-compra-banco-master-divulga-lucro-de-r-1-bi-em-2024
2025-09-01,Banco Central rejeita compra do Master pelo BRB por irregularidades contabeis,Agencia Brasil,regulatorio,https://agenciabrasil.ebc.com.br/economia/noticia/2025-09/bc-rejeita-compra-do-master-pelo-banco-de-brasilia-brb
2025-10-01,BC aprova aumento de capital em instituicoes ligadas ao Banco Master,Agencia Brasil,regulatorio,https://agenciabrasil.ebc.com.br/economia/noticia/2025-10/bc-aprova-aumento-de-capital-em-instituicoes-ligadas-ao-banco-master
2025-11-17,Daniel Vorcaro preso no aeroporto de Guarulhos ao tentar embarcar para Malta,Bloomberg / Reuters,criminal,https://finance.yahoo.com/news/brazils-central-bank-shuts-down-191229053.html
2025-11-18,Policia Federal revela fraude de R$ 12 bilhoes no sistema bancario,Yahoo Finance,criminal,https://finance.yahoo.com/news/brazils-central-bank-shuts-down-191229053.html
2025-11-18,Banco Central decreta liquidacao extrajudicial do Banco Master,Yahoo Finance / BCB,regulatorio,https://finance.yahoo.com/news/brazils-central-bank-shuts-down-191229053.html
2025-12-26,STF abre investigacao sobre atuacao do Banco Central no caso Master,Bloomberg,politico,https://www.bloomberg.com/news/articles/2025-12-26/brazil-s-central-bank-faces-court-scrutiny-over-bank-liquidation
2026-01-15,FGC estima perda de R$ 41 bilhoes com liquidacao do Master - maior da historia,AInvest / Bloomberg,financeiro,https://www.ainvest.com/news/banco-master-scandal-implications-brazil-financial-sector-investor-risk-management-2601/
2026-02-09,Investigacao revela conexoes politicas de Vorcaro com governo Lula,ColombiaOne,politico,https://colombiaone.com/2026/02/09/brazil-banco-master-scandal-scam-new-lava-jato/
2026-02-15,Covington analisa impacto do escandalo para investidores estrangeiros,Covington & Burling LLP,analise,https://www.cov.com/en/news-and-insights/insights/2026/02/brazils-banco-master-scandal-and-why-it-matters-for-foreign-investors
2026-02-20,Investigacao sobre relacao de Ibaneis Rocha com crise do Master via BRB,Agencia Publica,politico,https://apublica.org/2026/02/brb-como-ibaneis-rocha-esta-ligado-a-crise-do-banco-master/
2026-03-04,Vorcaro preso novamente por tentativa de suborno a ex-diretor do BC,US News / Bloomberg,criminal,https://money.usnews.com/investing/news/articles/2026-03-04/banco-master-owner-vorcaro-detained-by-brazil-police-local-media-reports
2026-03-05,Caso Master comparado a Operacao Lava Jato como maior escandalo de corrupcao,US News,analise,https://www.usnews.com/news/world/articles/2026-03-05/analysis-brazil-rocked-by-probe-of-central-bankers-aiding-failed-banco-master
2026-03-06,Vorcaro transferido para presidio federal por questoes de seguranca,Bloomberg,criminal,https://www.bloomberg.com/news/articles/2026-03-06/banco-master-s-vorcaro-moved-to-federal-jail-due-to-safety-risks
